Continent; Land; Hoofdstad
Afrika;    Algerije ; Algiers
Afrika;    Angola ; Luanda
Afrika;    Benin ; Porto-Novo
Afrika;    Botswana ; Gaborone
Afrika;    Burkina Faso ; Ouagadougou
Afrika;    Burundi ; Gitega
Afrika;    Centraal;Afrikaanse Republiek - Bangui
Afrika;    Comoren ; Moroni
Afrika;    Congo-Brazzaville ; Brazzaville
Afrika;    Congo-Kinshasa ; Kinshasa
Afrika;    Djibouti ; Djibouti
Afrika;    Egypte ; Caïro
Afrika;    Equatoriaal;Guinea - Malabo
Afrika;    Eritrea ; Asmara
Afrika;    Ethiopië ; Addis Abeba
Afrika;    Gabon ; Libreville
Afrika;    Gambia ; Banjul
Afrika;    Ghana ; Accra
Afrika;    Guinee ; Conakry
Afrika;    Guinee;Bissau - Bissau
Afrika;    Ivoorkust ; Yamoussoukro
Afrika;    Kaapverdië ; Praia
Afrika;    Kameroen ; Yaoundé
Afrika;    Kenia ; Nairobi
Afrika;    Lesotho ; Maseru
Afrika;    Liberia ; Monrovia
Afrika;    Libië ; Tripoli
Afrika;    Madagaskar ; Antananarivo
Afrika;    Malawi ; Lilongwe
Afrika;    Mali ; Bamako
Afrika;    Marokko ; Rabat
Afrika;    Mauritanië ; Nouakchott
Afrika;    Mauritius ; Port Louis
Afrika;    Mozambique ; Maputo
Afrika;    Namibië ; Windhoek
Afrika;    Niger ; Niamey
Afrika;    Nigeria ; Abuja
Afrika;    Oeganda ; Kampala
Afrika;    Rwanda ; Kigali
Afrika;    Sao Tomé en Principe ; Sao Tomé
Afrika;    Senegal ; Dakar
Afrika;    Seychellen ; Victoria
Afrika;    Sierra Leone ; Freetown
Afrika;    Soedan ; Khartoem
Afrika;    Somalië ; Mogadishu
Afrika;    Swaziland ; Lobamba, Mbabane
Afrika;    Tanzania ; Dodoma
Afrika;    Togo ; Lomé
Afrika;    Tsjaad ; Ndjamena
Afrika;    Tunesië ; Tunis
Afrika;    Zambia ; Lusaka
Afrika;    Zimbabwe ; Harare
Afrika;    Zuid-Afrika ; Pretoria
Afrika;    Zuid-Afrika ; Bloemfontein
Afrika;    Zuid-Afrika ; Kaapstad
Afrika;    Zuid-Soedan ; Djoeba
Azië;    Afghanistan;Kabul
Azië;    Armenië;Jerevan
Azië;    Azerbeidzjan;Bakoe
Azië;    Bahrein;Manama
Azië;    Bangladesh;Dhaka
Azië;    Bhutan;Thimphu
Azië;    Brunei;Bandar Seri Begawan
Azië;    Cambodja;Phnom Penh
Azië;    China;Peking
Azië;    Filipijnen;Manilla
Azië;    Georgië;Tbilisi
Azië;    India;New Delhi
Azië;    Indonesië;Jakarta
Azië;    Irak;Bagdad
Azië;    Iran;Teheran
Azië;    Israël;Jeruzalem
Azië;    Japan;Tokio
Azië;    Jemen;Sanaa
Azië;    Jordanië;Amman
Azië;    Kazachstan;Nur-Sultan
Azië;    Kirgizië;Bisjkek
Azië;    Koeweit;Koeweit
Azië;    Laos;Vientiane
Azië;    Libanon;Beiroet
Azië;    Maldiven;Malé
Azië;    Maleisië;Kuala Lumpur
Azië;    Mongolië;Ulaanbaatar
Azië;    Myanmar (Birma);Naypyidaw
Azië;    Nepal;Kathmandu
Azië;    Noord-Korea;Pyongyang
Azië;    Oezbekistan;Tasjkent
Azië;    Oman;Masqat
Azië;    Oost-Timor;Dili
Azië;    Pakistan;Islamabad
Azië;    Palestina;Ramallah
